,gam_id,temp,sex,inf_status,geo_order,photo_order,geo_score,photo_score
721,mI108,6,m,I,1,1,37,70
722,mI109,3,m,I,1,1,10,50
1595,mI11,3,f,I,,1,#N/A,70
723,mI110,3,m,I,,,11,50
724,mI110,6,m,I,,,10,100
725,mI110,9,m,I,,,55,30
726,mI110,12,m,I,,,21,60
728,mI110,15,m,I,,,41,80
729,mI110,18,m,I,1,1,31,70
1596,mI111,3,f,I,,1,#N/A,100
733,mI112,12,f,I,,,#N/A,0
730,mI112,3,f,I,1,1,10,10
731,mI112,6,f,I,,,10,20
735,mI112,15,f,I,,,10,10
736,mI112,18,f,I,,,40,10
1597,mI113,3,m,I,,,#N/A,10
1598,mI113,18,m,I,,,#N/A,90
737,mI114,3,m,I,,,18,60
738,mI114,6,m,I,1,1,16,50
747,mI115,18,m,I,,,#N/A,60
739,mI115,3,m,I,,,10,70
740,mI115,6,m,I,1,1,10,30
741,mI115,9,m,I,,,40,60
742,mI115,12,m,I,,,38,60
746,mI115,15,m,I,,,61,70
748,mI116,3,f,I,,,13,50
749,mI116,6,f,I,1,1,11,20
750,mI116,9,f,I,,,59,30
751,mI116,12,f,I,,,10,40
755,mI116,15,f,I,,,15,40
756,mI116,18,f,I,,,68,30
757,mI117,3,f,I,,,10,0
758,mI117,6,f,I,1,1,10,30
762,mI118,12,m,I,,,#N/A,90
759,mI118,3,m,I,,,10,90
760,mI118,6,m,I,,,11,90
763,mI118,15,m,I,1,1,25,50
764,mI118,18,m,I,,,13,80
1599,mI12,3,f,I,,1,#N/A,40
765,mI120,3,m,I,,,19,40
766,mI120,6,m,I,,,12,90
767,mI120,15,m,I,,,71,0
